case_name,navigation_ratio,missile_speed_mps,target_speed_mps,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,noise_std_radps,target_normal_g,saturation_ratio
Nt=1,4.0,500.0,300.0,1.94855,1.94855,0.566352,False,24.98,0.0,1,0.0
Nt=2,4.0,500.0,300.0,3.459838,3.459838,0.789529,False,22.95,0.0,2,0.0
Nt=3,4.0,500.0,300.0,4.523702,4.523702,1.045351,False,20.29,0.0,3,0.0
Nt=4,4.0,500.0,300.0,5.390991,5.390991,0.747181,False,17.88,0.0,4,0.0
Nt=5,4.0,500.0,300.0,6.109871,6.109871,1.230991,False,15.95,0.0,5,0.0
Nt=6,4.0,500.0,300.0,9.704989,9.704989,1.57626,False,14.45,0.0,6,0.0
Nt=7,4.0,500.0,300.0,16562.196831,10.0,3.671726,False,13.29,0.0,7,0.054135
Nt=8,4.0,500.0,300.0,5003.548544,10.0,17.733841,False,12.38,0.0,8,0.093624
Nt=9,4.0,500.0,300.0,2198.623299,10.0,44.498293,False,11.66,0.0,9,0.128535
Nt=10,4.0,500.0,300.0,1209.146539,10.0,82.995561,False,11.08,0.0,10,0.16321
