launch_radius_m,launch_angle_deg,launch_x_m,launch_y_m,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,saturation_ratio,feasible
125.0,0,125.0,0.0,0.0,0.0,0.0,True,0.138889,0.0,True
125.0,5,124.524337,10.894468,14297.89286,10.0,3.899869,False,60.0,0.002333,False
125.0,10,123.100969,21.706022,13578.352466,10.0,8.737201,False,60.0,0.002333,False
125.0,15,120.740728,32.352381,9091.649853,10.0,13.556119,False,60.0,0.002333,False
125.0,20,117.461578,42.752518,6286.890882,10.0,18.347061,False,60.0,0.002333,False
125.0,25,113.288473,52.827283,5197.684294,10.0,23.100312,False,60.0,0.0025,False
125.0,30,108.253175,62.5,4213.436692,10.0,27.806301,False,60.0,0.0025,False
125.0,35,102.394006,71.697055,3488.949224,10.0,32.455739,False,60.0,0.0025,False
125.0,40,95.755555,80.348451,3008.509802,10.0,37.039196,False,60.0,0.0025,False
125.0,45,88.388348,88.388348,2576.125909,10.0,41.54728,False,60.0,0.0025,False
125.0,50,80.348451,95.755555,2246.162869,10.0,45.970639,False,60.0,0.0025,False
125.0,55,71.697055,102.394006,1971.49711,10.0,50.29995,False,60.0,0.0025,False
125.0,60,62.5,108.253175,1723.96518,10.0,54.525904,False,60.0,0.0025,False
125.0,65,52.827283,113.288473,1529.296346,10.0,58.639176,False,60.0,0.0025,False
125.0,70,42.752518,117.461578,1348.160194,10.0,62.630392,False,60.0,0.0025,False
125.0,75,32.352381,120.740728,1193.810925,10.0,66.490066,False,60.0,0.0025,False
125.0,80,21.706022,123.100969,1054.600692,10.0,70.207577,False,60.0,0.002666,False
125.0,85,10.894468,124.524337,930.829283,10.0,73.773172,False,60.0,0.002666,False
125.0,90,0.0,125.0,819.666928,10.0,77.176868,False,60.0,0.002666,False
125.0,95,-10.894468,124.524337,719.671901,10.0,80.407399,False,60.0,0.002666,False
125.0,100,-21.706022,123.100969,628.950017,10.0,83.45066,False,60.0,0.002833,False
125.0,105,-32.352381,120.740728,547.61732,10.0,86.293142,False,60.0,0.002833,False
125.0,110,-42.752518,117.461578,473.319949,10.0,88.917677,False,60.0,0.003,False
125.0,115,-52.827283,113.288473,406.715311,10.0,91.302369,False,60.0,0.003,False
125.0,120,-62.5,108.253175,346.50345,10.0,93.418734,False,60.0,0.003166,False
125.0,125,-71.697055,102.394006,292.232983,10.0,95.22885,False,60.0,0.003333,False
125.0,130,-80.348451,95.755555,243.641634,10.0,96.676523,False,60.0,0.003499,False
125.0,135,-88.388348,88.388348,200.527635,10.0,97.674094,False,60.0,0.003833,False
125.0,140,-95.755555,80.348451,162.413551,10.0,98.079326,False,60.0,0.004166,False
125.0,145,-102.394006,71.697055,129.022254,10.0,97.639846,False,60.0,0.004833,False
125.0,150,-108.253175,62.5,100.235551,10.0,95.861657,False,60.0,0.005666,False
125.0,155,-113.288473,52.827283,75.834572,10.0,91.633347,False,60.0,0.007165,False
125.0,160,-117.461578,42.752518,55.447783,10.0,81.825843,False,60.0,0.009998,False
125.0,165,-120.740728,32.352381,38.870808,10.0,54.438627,False,60.0,0.017997,False
125.0,170,-123.100969,21.706022,169.687243,10.0,9.797062,False,60.0,0.021496,False
125.0,175,-124.524337,10.894468,11.549043,10.0,0.0,True,1.248421,0.08,True
125.0,180,-125.0,0.0,0.0,0.0,0.0,True,1.25,0.0,True
125.0,185,-124.524337,-10.894468,11.549043,10.0,0.0,True,1.248421,0.08,True
125.0,190,-123.100969,-21.706022,169.687243,10.0,9.797062,False,60.0,0.021496,False
125.0,195,-120.740728,-32.352381,38.870808,10.0,54.438627,False,60.0,0.017997,False
125.0,200,-117.461578,-42.752518,55.447783,10.0,81.825843,False,60.0,0.009998,False
125.0,205,-113.288473,-52.827283,75.834572,10.0,91.633347,False,60.0,0.007165,False
125.0,210,-108.253175,-62.5,100.235551,10.0,95.861657,False,60.0,0.005666,False
125.0,215,-102.394006,-71.697055,129.022254,10.0,97.639846,False,60.0,0.004833,False
125.0,220,-95.755555,-80.348451,162.413551,10.0,98.079326,False,60.0,0.004166,False
125.0,225,-88.388348,-88.388348,200.527635,10.0,97.674094,False,60.0,0.003833,False
125.0,230,-80.348451,-95.755555,243.641634,10.0,96.676523,False,60.0,0.003499,False
125.0,235,-71.697055,-102.394006,292.232983,10.0,95.22885,False,60.0,0.003333,False
125.0,240,-62.5,-108.253175,346.50345,10.0,93.418734,False,60.0,0.003166,False
125.0,245,-52.827283,-113.288473,406.715311,10.0,91.302369,False,60.0,0.003,False
125.0,250,-42.752518,-117.461578,473.319949,10.0,88.917677,False,60.0,0.003,False
125.0,255,-32.352381,-120.740728,547.61732,10.0,86.293142,False,60.0,0.002833,False
125.0,260,-21.706022,-123.100969,628.950017,10.0,83.45066,False,60.0,0.002833,False
125.0,265,-10.894468,-124.524337,719.671901,10.0,80.407399,False,60.0,0.002666,False
125.0,270,-0.0,-125.0,819.666928,10.0,77.176868,False,60.0,0.002666,False
125.0,275,10.894468,-124.524337,930.829283,10.0,73.773172,False,60.0,0.002666,False
125.0,280,21.706022,-123.100969,1054.600692,10.0,70.207577,False,60.0,0.002666,False
125.0,285,32.352381,-120.740728,1193.810925,10.0,66.490066,False,60.0,0.0025,False
125.0,290,42.752518,-117.461578,1348.160194,10.0,62.630392,False,60.0,0.0025,False
125.0,295,52.827283,-113.288473,1529.296346,10.0,58.639176,False,60.0,0.0025,False
125.0,300,62.5,-108.253175,1723.96518,10.0,54.525904,False,60.0,0.0025,False
125.0,305,71.697055,-102.394006,1971.49711,10.0,50.29995,False,60.0,0.0025,False
125.0,310,80.348451,-95.755555,2246.162869,10.0,45.970639,False,60.0,0.0025,False
125.0,315,88.388348,-88.388348,2576.125909,10.0,41.54728,False,60.0,0.0025,False
125.0,320,95.755555,-80.348451,3008.509802,10.0,37.039196,False,60.0,0.0025,False
125.0,325,102.394006,-71.697055,3488.949224,10.0,32.455739,False,60.0,0.0025,False
125.0,330,108.253175,-62.5,4213.436692,10.0,27.806301,False,60.0,0.0025,False
125.0,335,113.288473,-52.827283,5197.684294,10.0,23.100312,False,60.0,0.0025,False
125.0,340,117.461578,-42.752518,6286.890882,10.0,18.347061,False,60.0,0.002333,False
125.0,345,120.740728,-32.352381,9091.649853,10.0,13.556119,False,60.0,0.002333,False
125.0,350,123.100969,-21.706022,13578.352466,10.0,8.737201,False,60.0,0.002333,False
125.0,355,124.524337,-10.894468,14297.89286,10.0,3.899869,False,60.0,0.002333,False
250.0,0,250.0,0.0,0.0,0.0,0.0,True,0.277778,0.0,True
250.0,5,249.048675,21.788936,16893.230662,10.0,5.904731,False,60.0,0.004666,False
250.0,10,246.201938,43.412044,7554.183166,10.0,15.576872,False,60.0,0.004666,False
250.0,15,241.481457,64.704761,4917.443623,10.0,25.213547,False,60.0,0.004666,False
250.0,20,234.923155,85.505036,3491.195728,10.0,34.795023,False,60.0,0.004833,False
250.0,25,226.576947,105.654565,2673.17916,10.0,44.302308,False,60.0,0.004833,False
250.0,30,216.506351,125.0,2176.679064,10.0,53.716586,False,60.0,0.004833,False
250.0,35,204.788011,143.394109,1806.483784,10.0,63.018793,False,60.0,0.004833,False
250.0,40,191.511111,160.696902,1525.014581,10.0,72.189917,False,60.0,0.004833,False
250.0,45,176.776695,176.776695,1309.935261,10.0,81.210996,False,60.0,0.004833,False
250.0,50,160.696902,191.511111,1136.903515,10.0,90.063105,False,60.0,0.004833,False
250.0,55,143.394109,204.788011,992.277622,10.0,98.726074,False,60.0,0.004999,False
250.0,60,125.0,216.506351,869.938287,10.0,107.181381,False,60.0,0.004999,False
250.0,65,105.654565,226.576947,765.187486,10.0,115.410637,False,60.0,0.004999,False
250.0,70,85.505036,234.923155,675.2387,10.0,123.394596,False,60.0,0.004999,False
250.0,75,64.704761,241.481457,596.121214,10.0,131.110695,False,60.0,0.005166,False
250.0,80,43.412044,246.201938,526.046247,10.0,138.541512,False,60.0,0.005166,False
