gain_name,gain_value,max_required_overload_g,miss_distance_m,intercepted,flight_time_s
k_e,0.1,33.58167,3217.230071,False,6.46
k_e,0.2,34.43899,3217.230071,False,6.46
k_e,0.3,35.29631,3217.230071,False,6.46
k_e,0.4,36.15363,3217.230071,False,6.46
k_e,0.5,37.01095,3217.230071,False,6.46
k_e,0.6,37.86827,3217.230071,False,6.46
k_e,0.7,38.725591,3217.230071,False,6.46
k_e,0.8,39.582911,3217.230071,False,6.46
k_e,0.9,40.440231,3217.230071,False,6.46
k_e,1.0,41.297551,3217.230071,False,6.46
k_e,1.1,42.154871,3217.230071,False,6.46
k_e,1.2,43.012191,3217.230071,False,6.46
k_e,1.3,43.869511,3217.230071,False,6.46
k_e,1.4,44.726831,3217.230071,False,6.46
k_e,1.5,45.584152,3217.230071,False,6.46
k_e,1.6,46.441472,3217.230071,False,6.46
k_e,1.7,47.298792,3217.230071,False,6.46
k_e,1.8,48.156112,3217.230071,False,6.46
k_e,1.9,49.013432,3217.230071,False,6.46
k_e,2.0,49.870752,3217.230071,False,6.46
k_e,2.1,50.728072,3217.230071,False,6.46
k_e,2.2,51.585392,3217.230071,False,6.46
k_e,2.3,52.442713,3217.230071,False,6.46
k_e,2.4,53.300033,3217.230071,False,6.46
k_e,2.5,54.157353,3217.230071,False,6.46
k_e,2.6,55.014673,3217.230071,False,6.46
k_e,2.7,55.871993,3217.230071,False,6.46
k_e,2.8,56.729313,3217.230071,False,6.46
k_e,2.9,57.586633,3217.230071,False,6.46
k_e,3.0,58.443953,3217.230071,False,6.46
k_d,0.0,10.85186,3085.134032,False,6.85
k_d,0.1,14.904215,3184.527135,False,6.55
k_d,0.2,18.951921,3215.374173,False,6.46
k_d,0.3,22.978941,3217.230071,False,6.46
k_d,0.4,26.985591,3217.230071,False,6.46
k_d,0.5,30.992241,3217.230071,False,6.46
k_d,0.6,34.998891,3217.230071,False,6.46
k_d,0.7,39.005541,3217.230071,False,6.46
k_d,0.8,43.012191,3217.230071,False,6.46
k_d,0.9,47.018841,3217.230071,False,6.46
k_d,1.0,51.025491,3217.230071,False,6.46
k_d,1.1,55.032141,3217.230071,False,6.46
k_d,1.2,59.038791,3217.230071,False,6.46
k_d,1.3,63.045441,3217.230071,False,6.46
k_d,1.4,67.052091,3217.230071,False,6.46
k_d,1.5,71.058741,3217.230071,False,6.46
k_d,1.6,75.065391,3217.230071,False,6.46
k_d,1.7,79.072041,3217.230071,False,6.46
k_d,1.8,83.078691,3217.230071,False,6.46
k_d,1.9,87.085341,3217.230071,False,6.46
k_d,2.0,91.091992,3217.230071,False,6.46
k_c,0.0,42.341042,3217.230071,False,6.46
k_c,0.1,42.4529,3217.230071,False,6.46
k_c,0.2,42.564758,3217.230071,False,6.46
k_c,0.3,42.676616,3217.230071,False,6.46
k_c,0.4,42.788475,3217.230071,False,6.46
k_c,0.5,42.900333,3217.230071,False,6.46
k_c,0.6,43.012191,3217.230071,False,6.46
k_c,0.7,43.124049,3217.230071,False,6.46
k_c,0.8,43.235908,3217.230071,False,6.46
k_c,0.9,43.347766,3217.230071,False,6.46
k_c,1.0,43.459624,3217.230071,False,6.46
k_c,1.1,43.571482,3217.230071,False,6.46
k_c,1.2,43.683341,3217.230071,False,6.46
k_c,1.3,43.795199,3217.230071,False,6.46
k_c,1.4,43.907057,3217.230071,False,6.46
k_c,1.5,44.018915,3217.230071,False,6.46
k_c,1.6,44.130774,3217.230071,False,6.46
k_c,1.7,44.242632,3217.230071,False,6.46
k_c,1.8,44.35449,3217.230071,False,6.46
k_c,1.9,44.466348,3217.230071,False,6.46
k_c,2.0,44.578207,3217.230071,False,6.46
