law_name,elevation_deg,max_required_overload_g,max_actual_overload_g,terminal_overload_g,miss_distance_m,intercepted,flight_time_s
三点法,30,38.914598,20.0,20.0,4013.121839,False,2.84
前置量法,30,92750.672413,20.0,20.0,4157.865999,False,2.58
半前置量法,30,33471.866446,20.0,20.0,4138.960708,False,2.47
三点法,45,42.654614,20.0,20.0,4013.499354,False,2.65
前置量法,45,152332.646851,20.0,20.0,4108.342316,False,4.26
半前置量法,45,62342.891807,20.0,20.0,4112.931208,False,2.47
三点法,60,46.02947,20.0,20.0,3931.099091,False,2.6
前置量法,60,215974.512879,20.0,20.0,4004.975701,False,3.63
半前置量法,60,115094.661787,20.0,20.0,4011.269565,False,4.33
三点法,75,49.267572,20.0,20.0,3826.841597,False,2.63
前置量法,75,255933.445882,20.0,20.0,3884.369791,False,4.07
半前置量法,75,122322.72128,20.0,20.0,3892.071319,False,5.09
