law_name,target_normal_g,max_required_overload_g,max_actual_overload_g,terminal_overload_g,miss_distance_m,intercepted,flight_time_s
三点法,1.0,41.187372,20.0,20.0,4026.635817,False,2.63
前置量法,1.0,86918.748201,20.0,20.0,4126.618793,False,2.65
半前置量法,1.0,58746.773584,20.0,20.0,4121.581938,False,2.91
三点法,2.0,39.760688,20.0,20.0,4037.702736,False,2.62
前置量法,2.0,124004.172696,20.0,20.0,4136.185371,False,3.34
半前置量法,2.0,72186.868736,20.0,20.0,4128.71656,False,2.98
三点法,3.0,38.258019,20.0,20.0,4046.723841,False,2.61
前置量法,3.0,42029.385024,20.0,20.0,4146.863994,False,2.53
半前置量法,3.0,83758.741855,20.0,20.0,4132.210015,False,2.53
三点法,4.0,36.901035,20.0,20.0,4053.633137,False,2.62
前置量法,4.0,64939.018169,20.0,20.0,4152.824759,False,2.85
半前置量法,4.0,43721.131402,20.0,20.0,4132.641333,False,2.44
三点法,5.0,35.560226,20.0,20.0,4058.293797,False,2.64
前置量法,5.0,77279.907181,20.0,20.0,4152.555843,False,2.6
半前置量法,5.0,50158.271852,20.0,20.0,4123.587309,False,2.51
