limit_overload_g,target_initial_x_m,target_initial_y_m,attackable,inside_forbidden_zone,forbidden_left_boundary_m,forbidden_right_boundary_m,missile_speed_mps,target_speed_mps,missile_climb_angle_deg
1.0,-55000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-50000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-45000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-40000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-35000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-30000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-25000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-20000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-15000.0,7000.0,False,True,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-10000.0,7000.0,False,True,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,-5000.0,7000.0,False,True,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,0.0,7000.0,False,True,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,5000.0,7000.0,False,True,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,10000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,15000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,20000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.0,25000.0,7000.0,True,False,-16053.333333333334,8026.666666666667,450.0,240.0,90.0
1.5,-55000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-50000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-45000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-40000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-35000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-30000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-25000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-20000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-15000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-10000.0,7000.0,False,True,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,-5000.0,7000.0,False,True,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,0.0,7000.0,False,True,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,5000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,10000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,15000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,20000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
1.5,25000.0,7000.0,True,False,-11781.83217376714,4974.478316985734,450.0,240.0,90.0
2.0,-55000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-50000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-45000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-40000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-35000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-30000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-25000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-20000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-15000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-10000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,-5000.0,7000.0,False,True,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,0.0,7000.0,False,True,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,5000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,10000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,15000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,20000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.0,25000.0,7000.0,True,False,-7620.502044975588,2195.493457693101,450.0,240.0,90.0
2.5,-55000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-50000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-45000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-40000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-35000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-30000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-25000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-20000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-15000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-10000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,-5000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,0.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,5000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,10000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,15000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,20000.0,7000.0,True,False,,,450.0,240.0,90.0
2.5,25000.0,7000.0,True,False,,,450.0,240.0,90.0
