case_name,missile_speed_mps,target_speed_mps,initial_range_m,initial_los_deg,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,saturation_ratio
"R=500,q=0",408.0,272.0,500,0,0.0,0.0,4.96,True,3.64,0.0
"R=500,q=5",408.0,272.0,500,5,1.978,1.978,4.202056,True,3.64,0.0
"R=500,q=10",408.0,272.0,500,10,3.94119,3.94119,4.653993,True,3.62,0.0
"R=500,q=15",408.0,272.0,500,15,5.874866,5.874866,4.973071,True,3.59,0.0
"R=500,q=20",408.0,272.0,500,20,7.764533,7.764533,3.827913,True,3.56,0.0
"R=500,q=25",408.0,272.0,500,25,9.596012,9.596012,3.978287,True,3.51,0.0
"R=500,q=30",408.0,272.0,500,30,11.355538,11.355538,4.114799,True,3.45,0.0
"R=500,q=35",408.0,272.0,500,35,13.029862,13.029862,4.298513,True,3.38,0.0
"R=500,q=40",408.0,272.0,500,40,14.606346,14.606346,4.600484,True,3.3,0.0
"R=500,q=45",408.0,272.0,500,45,16.131164,16.131164,3.741218,True,3.22,0.0
"R=500,q=50",408.0,272.0,500,50,17.785632,17.785632,4.530058,True,3.12,0.0
"R=500,q=55",408.0,272.0,500,55,19.618424,19.618424,4.344506,True,3.02,0.0
"R=500,q=60",408.0,272.0,500,60,295.019122,20.0,3.819199,True,2.95,0.667797
"R=500,q=65",408.0,272.0,500,65,1889.572742,20.0,4.88031,True,2.98,0.996644
"R=500,q=70",408.0,272.0,500,70,9937.454379,20.0,45.320613,False,3.43,0.997093
"R=500,q=75",408.0,272.0,500,75,9996.343504,20.0,84.239312,False,3.91,0.997449
"R=500,q=80",408.0,272.0,500,80,3977.752602,20.0,191.645705,False,1.69,0.994118
"R=500,q=85",408.0,272.0,500,85,3887.00209,20.0,195.365355,False,1.45,0.993151
"R=500,q=90",408.0,272.0,500,90,3940.281646,20.0,193.435772,False,1.31,0.992424
"R=500,q=95",408.0,272.0,500,95,4032.606194,20.0,188.160686,False,1.21,0.991803
"R=500,q=100",408.0,272.0,500,100,4120.336191,20.0,180.592221,False,1.13,0.991228
"R=500,q=105",408.0,272.0,500,105,4249.954058,20.0,171.295757,False,1.07,0.990741
"R=500,q=110",408.0,272.0,500,110,4381.769784,20.0,160.66914,False,1.02,0.990291
"R=500,q=115",408.0,272.0,500,115,4542.19487,20.0,148.936574,False,0.98,0.989899
"R=500,q=120",408.0,272.0,500,120,4766.507149,20.0,136.318186,False,0.95,0.979167
"R=500,q=125",408.0,272.0,500,125,4953.536102,20.0,123.17562,False,0.92,0.935484
"R=500,q=130",408.0,272.0,500,130,5092.349947,20.0,109.747048,False,0.89,0.888889
"R=500,q=135",408.0,272.0,500,135,5381.495943,20.0,96.215569,False,0.87,0.840909
"R=500,q=140",408.0,272.0,500,140,5661.671423,20.0,82.71487,False,0.85,0.790698
"R=500,q=145",408.0,272.0,500,145,5923.682498,20.0,69.423668,False,0.83,0.72619
"R=500,q=150",408.0,272.0,500,150,6147.318905,20.0,56.552919,False,0.81,0.658537
"R=500,q=155",408.0,272.0,500,155,6285.752008,20.0,44.154172,False,0.79,0.5875
"R=500,q=160",408.0,272.0,500,160,6962.882602,20.0,32.482458,False,0.78,0.518987
"R=500,q=165",408.0,272.0,500,165,7819.79825,20.0,21.806178,False,0.77,0.423077
"R=500,q=170",408.0,272.0,500,170,8953.150165,20.0,12.544189,False,0.76,0.324675
"R=500,q=175",408.0,272.0,500,175,2724.542073,20.0,4.978112,True,0.74,0.189189
"R=500,q=180",408.0,272.0,500,180,0.0,0.0,3.6,True,0.73,0.0
"R=750,q=0",408.0,272.0,750,0,0.0,0.0,4.72,True,5.48,0.0
"R=750,q=5",408.0,272.0,750,5,1.31746,1.31746,4.941522,True,5.47,0.0
"R=750,q=10",408.0,272.0,750,10,2.625001,2.625001,4.254753,True,5.45,0.0
"R=750,q=15",408.0,272.0,750,15,3.912778,3.912778,4.04562,True,5.41,0.0
"R=750,q=20",408.0,272.0,750,20,5.171089,5.171089,4.357116,True,5.35,0.0
"R=750,q=25",408.0,272.0,750,25,6.390446,6.390446,3.888973,True,5.28,0.0
"R=750,q=30",408.0,272.0,750,30,7.561646,7.561646,4.077207,True,5.19,0.0
"R=750,q=35",408.0,272.0,750,35,8.675839,8.675839,3.65354,True,5.09,0.0
"R=750,q=40",408.0,272.0,750,40,9.724592,9.724592,4.084699,True,4.97,0.0
"R=750,q=45",408.0,272.0,750,45,10.739466,10.739466,4.131608,True,4.84,0.0
"R=750,q=50",408.0,272.0,750,50,11.840919,11.840919,3.928468,True,4.7,0.0
"R=750,q=55",408.0,272.0,750,55,13.061133,13.061133,4.98173,True,4.54,0.0
"R=750,q=60",408.0,272.0,750,60,14.429763,14.429763,4.728987,True,4.38,0.0
"R=750,q=65",408.0,272.0,750,65,15.98213,15.98213,4.697771,True,4.21,0.0
"R=750,q=70",408.0,272.0,750,70,17.761712,17.761712,3.704279,True,4.04,0.0
"R=750,q=75",408.0,272.0,750,75,19.822354,19.822354,4.652035,True,3.85,0.0
"R=750,q=80",408.0,272.0,750,80,506.600028,20.0,3.702032,True,3.73,0.613941
